date,max_temperature_c,rainfall_mm,humidity_pct,holiday,daily_demand_mwh
2020-01-01,29.2,8.8,74.3,1,35682.2
2020-01-02,28.2,1.9,79.1,0,39396.0
2020-01-03,29.7,1.4,72.9,0,37950.5
2020-01-04,29.8,0.0,72.0,0,38339.1
2020-01-05,27.6,1.6,71.6,1,34792.1
2020-01-06,28.1,0.0,74.4,0,38385.3
2020-01-07,29.3,1.8,76.1,0,39490.6
2020-01-08,28.9,1.3,70.4,0,39359.8
2020-01-09,29.2,0.9,75.3,0,38440.7
2020-01-10,28.6,1.3,75.3,0,38559.4
2020-01-11,30.0,0.0,70.1,0,37066.6
2020-01-12,29.9,0.0,74.7,1,36038.6
2020-01-13,29.4,1.3,67.2,0,38373.0
2020-01-14,30.3,0.2,72.8,0,39248.9
2020-01-15,29.8,3.3,79.4,0,37949.4
2020-01-16,28.7,1.7,79.3,0,38890.1
2020-01-17,29.7,0.6,73.9,0,38070.0
2020-01-18,28.7,0.0,73.0,0,37916.1
2020-01-19,30.2,1.2,70.6,1,35420.9
2020-01-20,29.5,0.0,71.8,0,38588.1
2020-01-21,29.4,0.2,74.6,0,39867.3
2020-01-22,29.1,0.0,71.0,0,39352.1
2020-01-23,30.6,0.0,73.4,0,40483.8
2020-01-24,29.5,0.0,79.1,0,40257.9
2020-01-25,29.3,0.0,72.8,0,37772.7
2020-01-26,29.4,2.3,70.3,1,36934.7
2020-01-27,30.2,3.2,69.8,0,38549.7
2020-01-28,30.1,1.3,75.1,0,40026.7
2020-01-29,30.1,2.5,73.2,0,39235.6
2020-01-30,30.2,0.0,74.3,0,39080.5
2020-01-31,31.6,0.0,68.0,0,40777.5
2020-02-01,29.6,2.4,76.7,0,39065.6
2020-02-02,29.5,0.0,72.2,1,36825.7
2020-02-03,29.3,0.0,70.8,0,39490.4
2020-02-04,30.5,1.5,71.0,1,37669.3
2020-02-05,30.9,0.3,67.2,0,40500.4
2020-02-06,30.0,0.1,78.1,0,39918.7
2020-02-07,29.4,0.0,72.6,0,39834.7
2020-02-08,29.5,2.8,76.5,0,38660.2
2020-02-09,30.7,1.0,70.0,1,37437.8
